i,type,avg_length,avg_reward,avg_vc,avg_js_dist
1,wrl,4.655,-4.695,0.225,[0.32692166]
1,wrl,5.66,-4.47,0.2,[0.34531855]
1,wrl,4.465,-5.23,0.24,[0.43981501]
1,wrl,3.455,-4.01,0.255,[0.25899236]
1,wrl,9.085,-13.785,0.32,[0.42541766]
1,wrl,3.435,-2.725,0.21,[0.18052937]
1,wrl,4.61,-1.975,0.17,[0.37859202]
2,mdft,4.42,3.61,0.06,[0.4277068]
2,mdft,8.02,-4.145,0.145,[0.31062517]
2,mdft,4.54,-0.655,0.145,[0.28338256]
2,mdft,7.835,-9.845,0.265,[0.49318886]
2,mdft,62.93,-97.285,0.97,[0.71888253]
2,mdft,7.855,-17.525,0.42,[0.28297595]
2,mdft,4.53,0.775,0.115,[0.41231902]
2,mdft,5.58,1.745,0.075,[0.38652198]
2,mdft,4.615,-4.995,0.23,[0.32303309]
2,mdft,6.39,-0.57,0.105,[0.46819235]
2,mdft,5.545,1.025,0.11,[0.37287418]
2,mdft,4.635,-5.945,0.29,[0.32355497]
2,mdft,9.155,-12.88,0.3,[0.2610784]
2,mdft,6.42,-4.745,0.295,[0.43597812]
2,mdft,7.705,-6.015,0.19,[0.27360472]
2,mdft,5.29,-0.425,0.125,[0.24353185]
2,mdft,4.315,-2.89,0.195,[0.32118677]
2,mdft,10.605,-32.695,0.675,[0.35854452]
2,mdft,3.455,-2.99,0.215,[0.37787419]
2,mdft,8.685,-49.58,1.055,[0.43112901]
2,mdft,9.84,-12.07,0.27,[0.38874665]
2,mdft,7.815,-117.765,2.465,[0.38679046]
2,mdft,4.68,-2.015,0.17,[0.24879079]
2,mdft,14.57,-14.35,0.22,[0.29791634]
2,mdft,9.015,-8.06,0.205,[0.44040349]
2,mdft,9.07,-73.67,1.53,[0.46755882]
2,mdft,7.755,-3.37,0.18,[0.22177368]
2,mdft,8.775,-143.86,2.95,[0.41158202]
2,mdft,3.465,4.34,0.065,[0.19679789]
2,mdft,4.83,-76.64,1.66,[0.3667039]
2,mdft,6.735,-33.885,0.805,[0.29218851]
2,mdft,7.955,-6.785,0.2,[0.33634216]
2,mdft,3.265,0.77,0.14,[0.42003622]
2,mdft,9.955,-89.02,1.835,[0.31405872]
2,mdft,5.415,1.64,0.08,[0.29422651]
2,mdft,4.38,2.93,0.075,[0.38080598]
2,mdft,4.555,-9.875,0.33,[0.25919318]
2,mdft,5.57,-2.415,0.16,[0.37548493]
2,mdft,10.28,-7.655,0.17,[0.32915879]
2,mdft,13.495,-18.665,0.33,[0.30085134]
2,mdft,9.4,-31.575,0.67,[0.40081065]
2,mdft,6.765,-11.035,0.31,[0.34900438]
2,mdft,3.35,-45.155,1.06,[0.60202699]
2,mdft,4.605,-14.775,0.43,[0.2200462]
2,mdft,15.385,-28.315,0.53,[0.32409973]
2,mdft,4.545,-4.08,0.215,[0.21895606]
2,mdft,7.53,-38.455,0.855,[0.30817951]
2,mdft,5.435,-36.31,0.85,[0.28811583]
2,mdft,6.905,-5.95,0.205,[0.27238135]
2,mdft,5.71,-14.375,0.4,[0.28559538]
2,mdft,3.335,-1.71,0.19,[0.18472986]
2,mdft,5.825,-98.695,2.1,[0.362011]
2,mdft,9.08,-12.605,0.32,[0.37408708]
2,mdft,4.615,3.2,0.065,[0.27874164]
2,mdft,6.68,0.645,0.075,[0.39872857]
2,mdft,3.315,-3.21,0.22,[0.18316731]
2,mdft,11.195,-61.825,1.24,[0.35954404]
2,mdft,6.8,-16.515,0.42,[0.25839313]
2,mdft,6.47,0.6,0.09,[0.495527]
2,mdft,5.69,-15.025,0.41,[0.34285905]
2,mdft,3.505,-2.94,0.21,[0.23625915]
2,mdft,6.655,-8.74,0.265,[0.32240637]
2,mdft,4.575,-37.41,0.88,[0.35081595]
2,mdft,20.04,-23.985,0.4,[0.28876907]
2,mdft,7.835,-10.335,0.275,[0.36296138]
2,mdft,10.93,-8.285,0.17,[0.30650329]
2,mdft,4.43,0.195,0.13,[0.49843732]
2,mdft,3.295,6.97,0.015,[0.43034801]
2,mdft,8.915,-13.6,0.32,[0.2498873]
2,mdft,4.6,-4.39,0.22,[0.24160841]
2,mdft,10.03,-21.57,0.46,[0.2186068]
2,mdft,10.585,-27.31,0.56,[0.32052734]
2,mdft,4.755,-20.82,0.55,[0.22706305]
2,mdft,3.34,2.445,0.105,[0.37851282]
2,mdft,3.455,-6.175,0.28,[0.26432952]
2,mdft,7.735,0.81,0.05,[0.33981911]
2,mdft,6.805,-2.175,0.13,[0.39280441]
2,mdft,8.685,-7.25,0.195,[0.35180163]
2,mdft,3.325,5.47,0.045,[0.24341267]
2,mdft,13.21,-15.195,0.265,[0.31724152]
2,mdft,6.685,-1.325,0.115,[0.31988202]
2,mdft,14.595,-19.275,0.39,[0.28299503]
2,mdft,4.51,-7.79,0.315,[0.21215051]
2,mdft,5.455,-0.835,0.13,[0.38377478]
